"Distance (m),Elevation (m),Latitude,Longitude"
"0.0,328.7,38.927142183,-95.676805255"
"31.0,328.7,38.926946471,-95.676763623"
"59.0,328.4,38.926669198,-95.676722230"
"88.0,328.2,38.926440723,-95.676701473"
"116.0,328.4,38.926163118,-95.676596217"
"141.0,328.3,38.926016196,-95.676596167"
"165.0,328.4,38.925755092,-95.676533742"
"191.0,328.4,38.925526516,-95.676386530"
"216.0,328.7,38.925346945,-95.676302493"
"238.0,329.5,38.925102181,-95.676195984"
"255.0,330.0,38.924808814,-95.676068071"
"286.0,330.4,38.924531681,-95.675983994"
"304.0,330.3,38.924319782,-95.675837134"
"317.0,329.7,38.924091162,-95.675754233"
"333.0,329.2,38.923878542,-95.675650650"
"351.0,328.0,38.923502151,-95.675673446"
"372.0,327.1,38.923256490,-95.675674550"
"394.0,326.1,38.922944631,-95.675718462"
"413.0,325.7,38.922682205,-95.675782570"
"433.0,325.6,38.922469790,-95.675971570"
"445.0,325.8,38.922306635,-95.676139326"
"466.0,325.9,38.922208717,-95.676370282"
"489.0,325.5,38.922060936,-95.676560137"
"508.0,325.1,38.921880747,-95.676728661"
"529.0,324.7,38.921650999,-95.676834665"
"551.0,323.9,38.921338104,-95.676836881"
"570.0,322.9,38.921041357,-95.676838979"
"587.0,321.6,38.920727371,-95.676736280"
"606.0,320.6,38.920430633,-95.676737781"
"623.0,320.0,38.920116935,-95.676676323"
"641.0,320.1,38.919804348,-95.676550620"
"661.0,320.5,38.919625238,-95.676528715"
"678.0,321.0,38.919412960,-95.676422833"
"695.0,321.5,38.919251631,-95.676273860"
"718.0,322.5,38.919106326,-95.676104233"
"735.0,323.3,38.919042504,-95.675913921"
"757.0,324.0,38.919029138,-95.675638941"
"775.0,324.8,38.919048142,-95.675364371"
"797.0,325.5,38.919100016,-95.675068959"
"814.0,325.7,38.919199865,-95.674858181"
"837.0,325.8,38.919330778,-95.674732056"
"855.0,326.0,38.919429480,-95.674584780"
"874.0,325.9,38.919543710,-95.674521802"
"897.0,325.6,38.919739177,-95.674522003"
"925.0,325.5,38.919935472,-95.674521960"
"955.0,325.6,38.920197630,-95.674542764"
"978.0,326.0,38.920492700,-95.674584467"
"1001.0000000000000,325.8,38.920738788,-95.674689112"
"1024.0,326.6,38.920968035,-95.674730895"
"1048.0,327.2,38.921165444,-95.674667285"
"1076.0,327.6,38.921346142,-95.674582834"
"1098.0,327.9,38.921460942,-95.674498654"
"1124.0,328.4,38.921576045,-95.674288459"
"1149.0,328.7,38.921658471,-95.674036399"
"1172.0,329.1,38.921740853,-95.673784450"
"1189.0,329.4,38.921806711,-95.673532650"
"1210.0,329.6,38.921872329,-95.673280968"
"1229.0,329.7,38.921872614,-95.673050310"
"1249.0,329.7,38.921823665,-95.672882599"
"1272.0,329.7,38.921741961,-95.672777778"
"1296.0,329.6,38.921561930,-95.672777787"
"1316.0,329.4,38.921447335,-95.672777793"
"1333.0,329.1,38.921234407,-95.672777804"
"1355.0,328.6,38.921037556,-95.672798793"
"1372.0,328.1,38.920840659,-95.672798806"
"1395.0,327.6,38.920660090,-95.672798819"
"1421.0,327.1,38.920446512,-95.672819836"
"1446.0,326.7,38.920216540,-95.672819843"
"1473.0,326.7,38.919987714,-95.672819872"
"1503.0,326.9,38.919792233,-95.672819880"
"1525.0,327.0,38.919694821,-95.672735908"
"1547.0,327.3,38.919695626,-95.672525981"
"1576.0,327.7,38.919729373,-95.672274182"
"1597.0,328.2,38.919827259,-95.672106246"
"1615.0,328.4,38.919925448,-95.671917387"
"1628.0,328.7,38.919992861,-95.671770849"
"1646.0,329.1,38.920076335,-95.671540536"
"1668.0,329.8,38.920159542,-95.671331264"
"1696.0,330.3,38.920209953,-95.671143049"
"1743.0,331.2,38.920342922,-95.670955338"
"1765.0,332.0,38.920491946,-95.670767773"
"1810.0,332.5,38.920639816,-95.670663640"
"1830.0,332.9,38.920836011,-95.670663992"
"1848.0,333.4,38.921096871,-95.670685052"
"1877.0,333.6,38.921259668,-95.670685016"
"1899.0,333.5,38.921438394,-95.670726654"
"1918.0,333.2,38.921845801,-95.670747715"
"1941.0,332.9,38.922040528,-95.670747273"
"1963.0,331.9,38.922462500,-95.670829935"
"1980.0,331.7,38.922706789,-95.670871698"
"2000.0,331.6,38.922902347,-95.670913581"
"2022.0000000000000,331.6,38.923065301,-95.670892617"
"2037.0,331.6,38.923179377,-95.670871667"
"2057.0,331.6,38.923326064,-95.670955452"
"2075.0,331.7,38.923521749,-95.670976518"
"2097.0,331.9,38.923782626,-95.670997628"
"2115.0,332.0,38.923978200,-95.670997724"
"2128.0,332.1,38.924157394,-95.671102372"
"2150.0,332.0,38.924401833,-95.671249027"
"2176.0,332.3,38.924629963,-95.671353829"
"2201.0,332.6,38.924809262,-95.671521650"
"2225.0,332.9,38.925021005,-95.671668271"
"2245.0,333.0,38.925200111,-95.671793719"
"2267.0,332.9,38.925330400,-95.671898277"
"2289.0,332.9,38.925525846,-95.671961045"
"2312.0,332.8,38.925672414,-95.671940133"
"2325.0,332.7,38.925851572,-95.671877303"
"2345.0,332.5,38.926047014,-95.671772567"
"2358.0,332.3,38.926242626,-95.671688559"
"2373.0,332.2,38.926405632,-95.671583763"
"2393.0,332.0,38.926568585,-95.671541829"
"2416.0,331.6,38.926764269,-95.671541660"
"2439.0,331.6,38.926911102,-95.671541501"
"2463.0,331.5,38.927123041,-95.671562362"
"2487.0,331.5,38.927334569,-95.671646341"
"2509.0,331.9,38.927562386,-95.671730229"
"2524.0,332.4,38.927757275,-95.671772358"
"2545.0,332.8,38.928000830,-95.671835425"
"2568.0,332.8,38.928212597,-95.671919105"
"2593.0,333.3,38.928408269,-95.671981803"
"2622.0,331.4,38.928610630,-95.672042980"
"2655.0,330.4,38.928814766,-95.672107501"
"2684.0,332.7,38.929075819,-95.672191110"
"2706.0,332.6,38.929320838,-95.672253783"
"2728.0,332.3,38.929517160,-95.672337423"
"2742.0,331.9,38.929680884,-95.672400154"
"2758.0,331.4,38.929812240,-95.672525758"
"2777.0,331.1,38.929943098,-95.672735232"
"2798.0,330.8,38.929975969,-95.672923810"
"2824.0,330.6,38.929991955,-95.673175213"
"2848.0,330.8,38.930024401,-95.673384726"
"2872.0,331.2,38.930056680,-95.673636080"
"2890.0,331.5,38.930088867,-95.673824539"
"2912.0,332.0,38.930152834,-95.674075591"
"2934.0,332.1,38.930266638,-95.674201172"
"2959.0,332.3,38.930396692,-95.674305793"
"2979.0,332.2,38.930559228,-95.674410375"
"3016.0,332.3,38.930705747,-95.674494097"
"3051.0,332.2,38.930836771,-95.674599016"
"3084.0,332.1,38.930919776,-95.674788030"
"3120.0,331.9,38.930968444,-95.674976472"
"3153.0,331.5,38.930920248,-95.675186230"
"3187.0,330.8,38.930790464,-95.675375050"
"3215.0,330.5,38.930629202,-95.675501634"
"3239.0,329.9,38.930484376,-95.675628425"
"3263.0,329.6,38.930323438,-95.675797438"
"3285.0,328.8,38.930161662,-95.675924186"
"3309.0,328.5,38.930097038,-95.676029536"
"3337.0,328.2,38.930097824,-95.676260908"
"3367.0,328.2,38.930179647,-95.676449946"
"3402.0,328.2,38.930294908,-95.676660555"
"3429.0,328.4,38.930390863,-95.676868856"
"3471.0,328.5,38.930374499,-95.677078655"
"3496.0,328.6,38.930276162,-95.677204228"
"3522.0,328.6,38.930161878,-95.677267139"
"3549.0,328.8,38.929998648,-95.677267130"
"3581.0,329.1,38.929720514,-95.677266447"
"3615.0,329.2,38.929573242,-95.677245055"
"3644.0,329.1,38.929377083,-95.677223712"
"3665.0,329.1,38.929148982,-95.677224091"
"3694.0,329.1,38.928920302,-95.677160900"
"3723.0,329.1,38.928708241,-95.677119038"
"3739.0,329.0,38.928480107,-95.677098459"
"3772.0,328.9,38.928235527,-95.677035824"
"3797.0,328.8,38.927974622,-95.676973222"
"3828.0,328.7,38.927730040,-95.676931662"
"3850.0,328.8,38.927452647,-95.676868898"
